city_std,city_clean,n_historical_events,low_history_city,mean_jaccard,median_jaccard,mean_overlap_coefficient,median_overlap_coefficient,split_reps
广元,广元市,7,False,0.11,0.0,0.235,0.0,100.0
漳州,漳州市,5,False,0.0,0.0,0.0,0.0,100.0
茂名,茂名市,4,False,0.0,0.0,0.0,0.0,100.0
遵义,遵义市,4,False,0.0,0.0,0.0,0.0,100.0
常州,常州市,4,False,0.0,0.0,0.0,0.0,100.0
汉中,汉中市,4,False,0.0,0.0,0.0,0.0,100.0
淮南,淮南市,4,False,0.0,0.0,0.0,0.0,100.0
眉山,眉山市,5,False,0.04458333333333332,0.0,0.145,0.0,100.0
宜宾,宜宾市,6,False,0.06000000000000001,0.0,0.11333333333333334,0.0,100.0
池州,池州市,4,False,0.062,0.0,0.155,0.0,100.0
延安,延安市,4,False,0.0,0.0,0.0,0.0,100.0
许昌,许昌市,5,False,0.059666666666666666,0.0,0.11333333333333333,0.0,100.0
鄂尔多斯,鄂尔多斯市,5,False,0.0,0.0,0.0,0.0,100.0
泰安,泰安市,5,False,0.01890909090909091,0.0,0.04,0.0,100.0
上饶,上饶市,5,False,0.05011111111111109,0.0,0.12300000000000001,0.0,100.0
怀化,怀化市,5,False,0.0,0.0,0.0,0.0,100.0
巴中,巴中市,4,False,0.0,0.0,0.0,0.0,100.0
庆阳,庆阳市,5,False,0.27,0.0,0.27,0.0,100.0
周口,周口市,4,False,0.0,0.0,0.0,0.0,100.0
平顶山,平顶山市,5,False,0.0,0.0,0.0,0.0,100.0
泸州,泸州市,3,True,0.335,0.5,0.67,1.0,100.0
贺州,贺州市,3,True,0.19333333333333333,0.3333333333333333,0.58,1.0,100.0
保山,保山市,2,True,0.5,0.5,1.0,1.0,100.0
随州,随州市,3,True,0.20333333333333328,0.3333333333333333,0.61,1.0,100.0
威海,威海市,2,True,0.19999999999999996,0.2,0.5,0.5,100.0
丽水,丽水市,3,True,0.2266666666666666,0.3333333333333333,0.34,0.5,100.0
镇江,镇江市,3,True,0.18444444444444447,0.2222222222222222,0.67,0.5,100.0
资阳,资阳市,2,True,0.3333333333333334,0.3333333333333333,0.5,0.5,100.0
荆州,荆州市,2,True,0.11111111111111112,0.1111111111111111,0.5,0.5,100.0
三明,三明市,3,True,0.325,0.25,0.53,0.5,100.0
衡水,衡水市,3,True,0.11199999999999999,0.16666666666666666,0.25499999999999995,0.3333333333333333,100.0
阳江,阳江市,3,True,0.11583333333333332,0.1111111111111111,0.3233333333333333,0.3333333333333333,100.0
晋城,晋城市,2,True,0.19999999999999996,0.2,0.3333333333333334,0.3333333333333333,100.0
邵阳,邵阳市,3,True,0.11611111111111111,0.1111111111111111,0.2925,0.25,100.0
黄山,黄山市,3,True,0.0,0.0,0.0,0.0,100.0
天水,天水市,3,True,0.0,0.0,0.0,0.0,100.0
衡阳,衡阳市,3,True,0.0,0.0,0.0,0.0,100.0
铜仁,铜仁市,3,True,0.0,0.0,0.0,0.0,100.0
南通,南通市,2,True,0.0,0.0,0.0,0.0,100.0
广安,广安市,3,True,0.0,0.0,0.0,0.0,100.0
河源,河源市,3,True,0.0,0.0,0.0,0.0,100.0
绍兴,绍兴市,3,True,0.0,0.0,0.0,0.0,100.0
台州,台州市,3,True,0.0,0.0,0.0,0.0,100.0
梅州,梅州市,2,True,0.0,0.0,0.0,0.0,100.0
赣州,赣州市,3,True,0.0,0.0,0.0,0.0,100.0
六安,六安市,3,True,0.0,0.0,0.0,0.0,100.0
荆门,荆门市,3,True,0.0,0.0,0.0,0.0,100.0
黄冈,黄冈市,3,True,0.0,0.0,0.0,0.0,100.0
常德,常德市,3,True,0.04333333333333333,0.0,0.08666666666666666,0.0,100.0
晋中,晋中市,2,True,0.0,0.0,0.0,0.0,100.0
运城,运城市,3,True,0.0,0.0,0.0,0.0,100.0
赤峰,赤峰市,3,True,0.0,0.0,0.0,0.0,100.0
儋州,儋州市,2,True,0.0,0.0,0.0,0.0,100.0
西宁,西宁市,3,True,0.0,0.0,0.0,0.0,100.0
攀枝花,攀枝花市,2,True,0.0,0.0,0.0,0.0,100.0
龙岩,龙岩市,2,True,0.0,0.0,0.0,0.0,100.0
昭通,昭通市,2,True,0.0,0.0,0.0,0.0,100.0
鹰潭,鹰潭市,2,True,0.0,0.0,0.0,0.0,100.0
永州,永州市,2,True,0.0,0.0,0.0,0.0,100.0
牡丹江,牡丹江市,3,True,0.0,0.0,0.0,0.0,100.0
临汾,临汾市,2,True,0.0,0.0,0.0,0.0,100.0
烟台,烟台市,3,True,0.0,0.0,0.0,0.0,100.0
大庆,大庆市,3,True,0.0,0.0,0.0,0.0,100.0
陇南,陇南市,3,True,0.0,0.0,0.0,0.0,100.0
漯河,漯河市,3,True,0.0,0.0,0.0,0.0,100.0
安康,安康市,3,True,0.0,0.0,0.0,0.0,100.0
日照,日照市,3,True,0.0,0.0,0.0,0.0,100.0
湛江,湛江市,3,True,0.06200000000000001,0.0,0.155,0.0,100.0
吉安,吉安市,3,True,0.0,0.0,0.0,0.0,100.0
安顺,安顺市,3,True,0.0,0.0,0.0,0.0,100.0
揭阳,揭阳市,2,True,0.0,0.0,0.0,0.0,100.0
南平,南平市,2,True,0.0,0.0,0.0,0.0,100.0
韶关,韶关市,3,True,0.0,0.0,0.0,0.0,100.0
淮安,淮安市,3,True,0.0,0.0,0.0,0.0,100.0
驻马店,驻马店市,3,True,0.0,0.0,0.0,0.0,100.0
忻州,忻州市,2,True,0.0,0.0,0.0,0.0,100.0
松原,松原市,2,True,0.0,0.0,0.0,0.0,100.0
吕梁,吕梁市,2,True,0.0,0.0,0.0,0.0,100.0
郴州,郴州市,1,True,,,,,100.0
盐城,盐城市,1,True,,,,,100.0
鄂州,鄂州市,1,True,,,,,100.0
商洛,商洛市,1,True,,,,,100.0
抚顺,抚顺市,0,True,,,,,
六盘水,六盘水市,1,True,,,,,100.0
朔州,朔州市,1,True,,,,,100.0
通辽,通辽市,0,True,,,,,
