city_clean,city_std,Event_ID,city_grid_count,historical_inventory_grids,affected_grids,observed_covered_affected_grids,observed_impact_coverage_rate,observed_uncovered_impact_share,random_mean_impact_coverage_rate,random_median_impact_coverage_rate,random_q05_impact_coverage_rate,random_q95_impact_coverage_rate,coverage_lift,coverage_difference,empirical_p_value,random_reps
深圳市,深圳,5369,1108,76,7,2,0.2857142857142857,0.7142857142857143,0.06457142857142856,0.0,0.0,0.2857142857142857,4.424778761061948,0.22114285714285714,0.07,500
深圳市,深圳,5930,1108,77,5,1,0.2,0.8,0.072,0.0,0.0,0.2,2.777777777777778,0.128,0.312,500
清远市,清远,772,576,5,4,1,0.25,0.75,0.0075,0.0,0.0,0.0,33.333333333333336,0.2425,0.028,500
清远市,清远,3031,576,3,12,1,0.08333333333333333,0.9166666666666666,0.006666666666666666,0.0,0.0,0.08333333333333333,12.5,0.07666666666666666,0.08,500
清远市,清远,4557,576,4,9,1,0.1111111111111111,0.8888888888888888,0.0077777777777777776,0.0,0.0,0.1111111111111111,14.285714285714285,0.10333333333333333,0.068,500
温州市,温州,684,1748,32,11,2,0.18181818181818182,0.8181818181818182,0.017090909090909094,0.0,0.0,0.09090909090909091,10.638297872340424,0.16472727272727272,0.01,500
温州市,温州,846,1748,33,2,0,0.0,1.0,0.012,0.0,0.0,0.0,0.0,-0.012,1.0,500
温州市,温州,4216,1748,31,19,4,0.21052631578947367,0.7894736842105263,0.01726315789473684,0.0,0.0,0.05263157894736842,12.195121951219512,0.19326315789473683,0.0,500
温州市,温州,5713,1748,29,31,4,0.12903225806451613,0.8709677419354839,0.016709677419354838,0.0,0.0,0.06451612903225806,7.722007722007722,0.11232258064516129,0.0,500
渭南市,渭南,6971,1179,9,8,3,0.375,0.625,0.00725,0.0,0.0,0.125,51.72413793103448,0.36775,0.0,500
渭南市,渭南,7096,1179,9,11,5,0.45454545454545453,0.5454545454545454,0.005454545454545455,0.0,0.0,0.09090909090909091,83.33333333333333,0.4490909090909091,0.0,500
湖州市,湖州,1728,1793,8,4,0,0.0,1.0,0.004,0.0,0.0,0.0,0.0,-0.004,1.0,500
湖州市,湖州,5585,1793,7,6,0,0.0,1.0,0.003,0.0,0.0,0.0,0.0,-0.003,1.0,500
湛江市,湛江,3013,729,4,6,0,0.0,1.0,0.005,0.0,0.0,0.0,0.0,-0.005,1.0,500
滁州市,滁州,4803,1555,3,3,0,0.0,1.0,0.0026666666666666666,0.0,0.0,0.0,0.0,-0.0026666666666666666,1.0,500
滨州市,滨州,5482,2115,14,16,3,0.1875,0.8125,0.006375,0.0,0.0,0.0625,29.411764705882355,0.181125,0.0,500
滨州市,滨州,5893,2115,15,6,0,0.0,1.0,0.009,0.0,0.0,0.16666666666666666,0.0,-0.009,1.0,500
漯河市,漯河,2701,658,5,23,0,0.0,1.0,0.008347826086956523,0.0,0.0,0.043478260869565216,0.0,-0.008347826086956523,1.0,500
漳州市,漳州,566,1162,4,5,0,0.0,1.0,0.0036000000000000003,0.0,0.0,0.0,0.0,-0.0036000000000000003,1.0,500
漳州市,漳州,2252,1162,4,8,0,0.0,1.0,0.00525,0.0,0.0,0.0,0.0,-0.00525,1.0,500
潍坊市,潍坊,3480,4664,25,40,10,0.25,0.75,0.00595,0.0,0.0,0.025,42.016806722689076,0.24405,0.0,500
