city_std,city_clean,number_of_extreme_events,median_uncovered_impact_share,mean_uncovered_impact_share,median_population_exposure_outside,median_road_exposure_outside,median_function_exposure_outside,proportion_events_uncovered_share_gt_25,proportion_events_uncovered_share_gt_50
泰安,泰安市,2,0.905982905982906,0.905982905982906,0.9923957779888262,0.8944927884177725,0.9707243191404127,1.0,1.0
清远,清远市,3,0.8888888888888888,0.8518518518518517,0.7697665863664015,1.0,0.5494235957812117,1.0,1.0
唐山,唐山市,2,0.8888888888888888,0.8888888888888888,0.823404489829474,0.8830686534928515,0.9294143549097313,1.0,1.0
聊城,聊城市,2,0.8888888888888888,0.8888888888888888,0.9193977808189122,0.8005961299779725,0.7252204585537919,1.0,1.0
重庆,重庆,5,0.8823529411764706,0.8531372549019608,0.743380226025476,0.8170558737349766,0.488586122890914,1.0,1.0
南阳,南阳市,3,0.875,0.8842592592592592,0.7393108508818931,0.7625620898587893,0.5949642023972327,1.0,1.0
广元,广元市,2,0.875,0.875,0.7457356016558094,0.7744476013936727,0.6049618320610687,1.0,1.0
怀化,怀化市,2,0.875,0.875,0.9567439642576894,0.7705416991565752,0.8205033308660252,1.0,1.0
焦作,焦作市,2,0.875,0.875,0.8969017200248314,0.7989028619163913,0.828036904151717,1.0,1.0
丽水,丽水市,1,0.875,0.875,0.9251050212107624,1.0,0.788475565280817,1.0,1.0
周口,周口市,1,0.875,0.875,0.9084827193390611,0.927652161959229,0.9429333333333333,1.0,1.0
莆田,莆田市,1,0.875,0.875,0.9788364746032606,0.8491030697940241,0.9926639815880323,1.0,1.0
吉林,吉林市,2,0.8674242424242424,0.8674242424242424,0.8150526490302056,0.7953791963227611,0.8082834121562446,1.0,1.0
邯郸,邯郸市,3,0.8636363636363636,0.8101010101010101,0.8498048081248033,0.8946653864562906,0.9160665568854917,1.0,1.0
无锡,无锡市,3,0.8571428571428571,0.8100198412698413,0.8169397618701332,0.7797251026151181,0.7314285714285714,1.0,1.0
江门,江门市,2,0.8461538461538461,0.8461538461538461,0.8948105708334051,0.9176954987640196,0.8182434395274523,1.0,1.0
河源,河源市,1,0.8461538461538461,0.8461538461538461,0.9509210715048777,0.6906971928102257,0.8715747771541763,1.0,1.0
温州,温州市,4,0.844574780058651,0.8696558110819571,0.8915998806471026,0.8662396927523704,0.8784842444913836,1.0,1.0
鹤壁,鹤壁市,2,0.842741935483871,0.842741935483871,0.9169796805172425,0.8088209025917633,0.8694155958830962,1.0,1.0
铜陵,铜陵市,2,0.8377192982456141,0.8377192982456141,0.4336052869052125,1.0,0.6799688166010505,1.0,1.0
哈尔滨,哈尔滨市,2,0.8360215053763441,0.8360215053763441,0.8145474848684815,0.8566340000611853,0.8108252409587994,1.0,1.0
六安,六安市,3,0.8333333333333334,0.8333333333333334,0.9162074066017658,0.8928343885916821,0.7224583197123243,1.0,1.0
呼和浩特,呼和浩特市,3,0.8333333333333334,0.8444444444444444,0.8954354150088542,0.8630641707900757,0.9391456992393212,1.0,1.0
惠州,惠州市,3,0.8333333333333334,0.818100358422939,0.761516519035047,0.772119984060571,0.6655868742111906,1.0,1.0
自贡,自贡市,3,0.8333333333333334,0.8240740740740741,0.5394250698386951,0.8047912159760877,0.7369374811235276,1.0,1.0
开封,开封市,2,0.8333333333333333,0.8333333333333333,0.6915818094613531,0.8590130634784128,0.7705789887346084,1.0,1.0
随州,随州市,2,0.8295454545454546,0.8295454545454546,0.9529560797787289,0.5760471054758373,0.5952146072790896,1.0,1.0
徐州,徐州市,2,0.825,0.825,0.8024485687282301,0.8494340708211542,0.8948731952441358,1.0,1.0
眉山,眉山市,2,0.825,0.825,0.7667407370114583,0.6323465336013986,0.690026548357209,1.0,1.0
金华,金华市,4,0.8161764705882353,0.8080882352941177,0.8740293259105215,0.8848884728884769,0.8312788544819892,1.0,1.0
安阳,安阳市,2,0.8126148705096073,0.8126148705096073,0.7257833299863649,0.7707041154597509,0.7562748596635326,1.0,1.0
佛山,佛山市,3,0.8125,0.6852954144620811,0.697943810404186,0.7751350095619997,0.5680137999014293,1.0,0.6666666666666666
德阳,德阳市,3,0.8095238095238095,0.6147486772486772,0.8000347141914481,0.7022061495937288,0.7719009832126711,0.6666666666666666,0.6666666666666666
汕头,汕头市,3,0.8095238095238095,0.8227963525835866,0.8409610118177531,0.7773705789642607,0.772198162036548,1.0,1.0
长沙,长沙市,6,0.805921052631579,0.8130209383612287,0.8006914174982515,0.7783978549412127,0.8090025502838893,1.0,1.0
保定,保定市,3,0.8,0.8083333333333332,0.7695805477586574,0.7736286960957222,0.8190800979363414,1.0,1.0
株洲,株洲市,3,0.8,0.7805555555555556,0.7497100414686444,0.7946813252925136,0.48480157613284547,1.0,1.0
邢台,邢台市,3,0.8,0.719047619047619,0.7765488518220767,0.7820087254687177,0.6821686938548375,1.0,0.6666666666666666
萍乡,萍乡市,2,0.8,0.8,0.8693685836655705,0.47738377625992545,0.7529362094112229,1.0,1.0
衡阳,衡阳市,1,0.8,0.8,0.6509046474953684,0.7796421057058518,0.8254194467837015,1.0,1.0
北京,北京,6,0.7946112250606003,0.7874371404503702,0.7397818256410158,0.7240431523729245,0.7484057144338033,1.0,1.0
阳江,阳江市,2,0.7937062937062938,0.7937062937062938,0.5987210174797941,0.6869993419943108,0.7547886659477661,1.0,1.0
洛阳,洛阳市,3,0.7903225806451613,0.7249793217535153,0.7530114452952525,0.8074652263613257,0.6992202479867059,1.0,0.6666666666666666
兰州,兰州市,2,0.7878787878787878,0.7878787878787878,0.626517533704563,0.7303080050957368,0.7875358888782937,1.0,1.0
廊坊,廊坊市,2,0.7863247863247863,0.7863247863247863,0.6562858894877622,0.7699317795465406,0.6350704692615181,1.0,1.0
咸阳,咸阳市,2,0.7857142857142857,0.7857142857142857,0.7509667928641184,0.8170636677551277,0.6397090751194094,1.0,1.0
咸宁,咸宁市,2,0.7846153846153847,0.7846153846153847,0.9945282718008364,0.7713908242276541,0.7711282898782899,1.0,1.0
德州,德州市,2,0.775,0.775,0.805668829945485,0.8121006627242835,0.7702651120618342,1.0,1.0
青岛,青岛市,5,0.7735849056603774,0.742038225419264,0.6355706159790545,0.6557993171601335,0.5728,1.0,0.8
宜昌,宜昌市,2,0.7703488372093024,0.7703488372093024,0.7791874223878726,0.7705749490637578,0.760019783507038,1.0,1.0
杭州,杭州市,7,0.7666666666666667,0.7727222036355527,0.7502494736375535,0.731735029218185,0.7554228169930887,1.0,1.0
广州,广州市,6,0.764158743282348,0.7280529144274493,0.6892671960459444,0.6894205478667679,0.746264260696911,1.0,0.8333333333333334
扬州,扬州市,2,0.7638888888888888,0.7638888888888888,0.5484104648446912,0.7878347196365234,0.5693389946519947,1.0,1.0
遂宁,遂宁市,2,0.7583333333333333,0.7583333333333333,0.534106889428571,0.738875863239832,0.6396397650742446,1.0,1.0
南宁,南宁市,6,0.7573529411764706,0.7448752228163992,0.7113993704845976,0.6398960858141438,0.681767120458972,1.0,1.0
天津,天津,5,0.7540983606557377,0.7113052335598539,0.6154465884066822,0.6523520022878112,0.47691605442768337,1.0,1.0
濮阳,濮阳市,2,0.7529761904761905,0.7529761904761905,0.7930136545876683,0.8117043624364996,0.7878349951927713,1.0,1.0
成都,成都市,5,0.7515923566878981,0.7811334592036456,0.7194379691287625,0.7185582503717999,0.720316899419932,1.0,1.0
