city_clean,city_std,Event_ID,is_extreme,Event_Peak_Rain,total_affected_grids,total_reports,historical_hotspot_grids,covered_affected_grids,uncovered_affected_grids,impact_coverage_rate,uncovered_impact_share,report_weighted_coverage_rate,report_weighted_uncovered_share,population_exposure_outside_historical_hotspots,road_exposure_outside_historical_hotspots,function_exposure_outside_historical_hotspots,historical_hotspot_definition,event_impact_definition,analysis_scale_m
吉安市,吉安,3777,1,51.74658203125,15,26.0,3,0,15,0.0,1.0,0.0,1.0,1.0,1.0,1.0,loo_positive_history_top_20pct,gt0,1000
吉林市,吉林,2507,1,40.41184997558594,11,17.0,7,2,9,0.18181818181818182,0.8181818181818182,0.23529411764705882,0.7647058823529411,0.6937512772257388,0.6937929388629214,0.78747591522158,loo_positive_history_top_20pct,gt0,1000
吉林市,吉林,5058,1,34.70683288574219,12,30.0,7,1,11,0.08333333333333333,0.9166666666666666,0.2,0.8,0.9363540208346723,0.8969654537826008,0.8290909090909091,loo_positive_history_top_20pct,gt0,1000
周口市,周口,4827,1,90.84552001953124,16,19.0,6,2,14,0.125,0.875,0.10526315789473684,0.8947368421052632,0.9084827193390611,0.927652161959229,0.9429333333333333,loo_positive_history_top_20pct,gt0,1000
呼伦贝尔市,呼伦贝尔,5537,1,53.30622100830078,1,1.0,0,0,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,loo_positive_history_top_20pct,gt0,1000
呼和浩特市,呼和浩特,3255,1,48.0414924621582,40,66.0,21,2,38,0.05,0.95,0.13636363636363635,0.8636363636363636,0.9758243652117881,0.9751568796421484,0.9860763255083415,loo_positive_history_top_20pct,gt0,1000
呼和浩特市,呼和浩特,4850,1,49.11623764038086,24,29.0,23,4,20,0.16666666666666666,0.8333333333333334,0.1724137931034483,0.8275862068965517,0.8954354150088542,0.8630641707900757,0.9391456992393212,loo_positive_history_top_20pct,gt0,1000
呼和浩特市,呼和浩特,5722,1,39.87744903564453,8,9.0,24,2,6,0.25,0.75,0.2222222222222222,0.7777777777777778,0.6773438755766109,0.8179047414941756,0.827653740697219,loo_positive_history_top_20pct,gt0,1000
咸宁市,咸宁,2658,1,32.278533935546875,20,39.0,6,4,16,0.2,0.8,0.3333333333333333,0.6666666666666666,0.9933720514693298,0.7890402880802826,0.7941602316602316,loo_positive_history_top_20pct,gt0,1000
咸宁市,咸宁,4721,1,71.56754302978516,13,44.0,8,3,10,0.23076923076923078,0.7692307692307693,0.5,0.5,0.9956844921323428,0.7537413603750258,0.7480963480963481,loo_positive_history_top_20pct,gt0,1000
咸阳市,咸阳,2010,1,47.83387756347656,7,17.0,10,3,4,0.42857142857142855,0.5714285714285714,0.5294117647058824,0.47058823529411764,0.5019335857282367,0.6341273355102555,0.27941815023881894,loo_positive_history_top_20pct,gt0,1000
咸阳市,咸阳,5877,1,32.914024353027344,12,14.0,8,0,12,0.0,1.0,0.0,1.0,1.0,1.0,1.0,loo_positive_history_top_20pct,gt0,1000
哈尔滨市,哈尔滨,2589,1,66.89727020263672,31,39.0,24,5,26,0.16129032258064516,0.8387096774193549,0.20512820512820512,0.7948717948717948,0.8292879238582357,0.8112755410783673,0.7835017392744741,loo_positive_history_top_20pct,gt0,1000
哈尔滨市,哈尔滨,4304,1,98.58970642089844,12,14.0,25,2,10,0.16666666666666666,0.8333333333333334,0.14285714285714285,0.8571428571428571,0.7998070458787272,0.9019924590440033,0.8381487426431247,loo_positive_history_top_20pct,gt0,1000
唐山市,唐山,3312,1,93.4897689819336,18,18.0,9,4,14,0.2222222222222222,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.646808979658948,0.7661373069857029,0.8588287098194628,loo_positive_history_top_20pct,gt0,1000
唐山市,唐山,5472,1,91.14431762695312,9,9.0,8,0,9,0.0,1.0,0.0,1.0,1.0,1.0,1.0,loo_positive_history_top_20pct,gt0,1000
商丘市,商丘,2618,1,59.74220657348633,10,12.0,30,5,5,0.5,0.5,0.5833333333333334,0.4166666666666667,0.49299973713328854,0.6117377752741184,0.49369747899159666,loo_positive_history_top_20pct,gt0,1000
商丘市,商丘,4190,1,56.09131240844727,4,11.0,30,3,1,0.75,0.25,0.7272727272727273,0.2727272727272727,0.25177087446375906,0.39280205127135703,0.41185006045949213,loo_positive_history_top_20pct,gt0,1000
商丘市,商丘,4828,1,61.99617767333984,68,265.0,26,18,50,0.2647058823529412,0.7352941176470589,0.3849056603773585,0.6150943396226415,0.6069709614952489,0.6201695587754514,0.5916144687094408,loo_positive_history_top_20pct,gt0,1000
商丘市,商丘,4895,1,73.09719848632812,19,42.0,30,10,9,0.5263157894736842,0.47368421052631576,0.4523809523809524,0.5476190476190477,0.47343342248708997,0.4402089153619845,0.383082158483228,loo_positive_history_top_20pct,gt0,1000
嘉兴市,嘉兴,1653,1,59.53095626831056,4,7.0,10,0,4,0.0,1.0,0.0,1.0,1.0,1.0,1.0,loo_positive_history_top_20pct,gt0,1000
嘉兴市,嘉兴,4213,1,55.73699951171874,7,9.0,9,0,7,0.0,1.0,0.0,1.0,1.0,1.0,1.0,loo_positive_history_top_20pct,gt0,1000
大庆市,大庆,3284,1,51.94760894775391,10,12.0,6,0,10,0.0,1.0,0.0,1.0,1.0,1.0,1.0,loo_positive_history_top_20pct,gt0,1000
大连市,大连,2601,1,50.93144226074219,47,100.0,44,18,29,0.3829787234042553,0.6170212765957447,0.44,0.56,0.4726750451851135,0.5218477731557514,0.4835272601977259,loo_positive_history_top_20pct,gt0,1000
大连市,大连,3484,1,86.8176040649414,142,430.0,33,23,119,0.1619718309859155,0.8380281690140845,0.32325581395348835,0.6767441860465117,0.6624808425058711,0.7852813244741828,0.7307430593358737,loo_positive_history_top_20pct,gt0,1000
大连市,大连,4152,1,69.28305053710938,46,67.0,44,26,20,0.5652173913043478,0.43478260869565216,0.6268656716417911,0.373134328358209,0.40329715735575933,0.43084790425233277,0.41490327536839167,loo_positive_history_top_20pct,gt0,1000
天津,天津,3309,1,93.4897689819336,213,635.0,84,49,164,0.2300469483568075,0.7699530516431925,0.41732283464566927,0.5826771653543307,0.6969033501273831,0.7012001922081246,0.5928898617698326,loo_positive_history_top_20pct,gt0,1000
天津,天津,4090,1,64.17932891845705,29,63.0,99,8,21,0.27586206896551724,0.7241379310344828,0.36507936507936506,0.6349206349206349,0.5857733849997695,0.5587373941214786,0.47641797113234396,loo_positive_history_top_20pct,gt0,1000
